tipo_inmueble,valor_venta,area,nro_cuartos,nro_banos,nro_garajes,zona,barrio,nombre_comun_barrio
Apartamento,770000000,100.0,2,3,2.0,Norte,CHICO NORTE III,Chicó Norte Iii
Apartamento,560000000,0.0,3,3,2.0,Noroccidente,SAN JOSE DEL PRADO,Colina Campestre
Apartamento,1950000000,281.0,3,4,3.0,Norte,LOS ROSALES,Rosales
Apartamento,305579600,72.0,3,2,0.0,Occidental,BOSCONIA,Nueva Castilla
Apartamento,1130000000,204.0,4,5,2.0,Norte,LA CAROLINA,LA CAROLINA
Casa,350000000,72.0,3,2,0.0,Occidental,SUPER MANZANA 9A,AYACUCHO
Apartamento,810000000,163.0,2,3,2.0,Norte,CONTADOR,Bella Suiza
Apartamento,1500000000,150.0,3,3,2.0,Norte,CHICO NORTE,El Chico
Apartamento,429000000,66.0,2,2,1.0,Centro,LAS NIEVES,EL CENTRO
Apartamento,486000000,0.0,1,1,1.0,Norte,CHICO NORTE III,Chico Norte
Apartamento,590000000,201.0,3,3,2.0,Norte,SANTA BARBARA CENTRAL,SANTA BARBARA CENTRAL
Apartamento,2400000000,370.0,4,4,4.0,Norte,LA CAROLINA,LA CAROLINA
Apartamento,415000000,82.0,2,2,1.0,Norte,LOS CEDRITOS,CEDRITOS
Apartamento,830000000,132.0,2,2,2.0,Chapinero,EMAUS,EMAUS
Apartamento,2400000000,279.0,3,4,2.0,Norte,EL REFUGIO,EL REFUGIO
Apartamento,200000000,30.0,1,1,1.0,Noroccidente,ESTORIL,PASADENA
Apartamento,990000000,187.0,3,3,0.0,Norte,SANTA BARBARA CENTRAL,Santa Bábara
Apartamento,1250000000,159.0,3,5,2.0,Norte,LOS ROSALES,LOS ROSALES
Apartamento,3000000000,0.0,3,4,3.0,Norte,LA CABRERA,CABRERA
Apartamento,1250000000,180.0,2,3,2.0,Norte,EL REFUGIO,EL REFUGIO
Apartamento,1183841390,128.0,3,3,2.0,Norte,SAN PATRICIO,San Patricio
Apartamento,184000000,46.0,2,1,0.0,Occidental,REMANSO SUR,CIUDAD MONTES
Casa,1950000000,350.0,4,5,4.0,Noroccidente,SAN JOSE DE BAVARIA,san jose de bavaria
Apartamento,320000000,0.0,3,2,1.0,Noroccidente,GUACANI,Mirandela
Apartamento,1800000000,180.0,2,3,3.0,Norte,LOS ROSALES,LOS ROSALES
Casa,570000000,320.0,4,2,1.0,Sur,SAN ISIDRO,20 DE JULIO
Casa,390000000,102.0,4,3,1.0,Noroccidente,VILLA NOVA,MIRANDELA
Apartamento,1800000000,230.0,3,4,3.0,Norte,EL REFUGIO,EL REFUGIO
Apartamento,1150000000,190.0,3,3,2.0,Norte,CHICO,CHICO
Casa,5300000000,400.0,4,4,2.0,Norte,SANTA ANA ORIENTAL,SANTA ANA ORIENTAL
Apartamento,1600000000,165.0,3,4,3.0,Chapinero,EMAUS,LOS ROSALES EMAUS
Apartamento,480000000,108.0,2,2,2.0,Norte,RINCON DEL CHICO,RINCON DEL CHICO
Casa,1200000000,292.0,4,4,2.0,Noroccidente,NIZA SUBA,CERROS DE SUBA
Casa,1500000200,336.0,3,3,1.0,Noroccidente,POTOSI,MORATO
Apartamento,373000000,79.0,3,3,2.0,Noroccidente,SAN CIPRIANO,BRITALIA
Apartamento,790000000,135.0,3,4,2.0,Norte,SANTA BARBARA OCCIDENTAL,SANTA BARBARA
Apartamento,550000000,90.75,3,2,1.0,Occidental,NORMANDIA OCCIDENTAL,NORMANDIA
Apartamento,810000000,130.0,3,3,2.0,Norte,CERROS DE LOS ALPES,CERROS DEL COUNTRY
Apartamento,340000000,98.0,2,2,1.0,Norte,EL CONTADOR,EL CONTADOR
Apartamento,246213000,57.0,2,2,0.0,Centro,SANTA BARBARA,
Apartamento,390000000,61.88,2,2,1.0,Noroccidente,IBERIA,Colina Campestre
Apartamento,1500000000,0.0,3,5,4.0,Norte,SANTA BIBIANA,CHICO NAVARRA
Casa,2400000000,243.0,4,5,4.0,Noroccidente,SAN JOSE DE BAVARIA,SAN JOSE DE BAVARIA
Apartamento,450000000,94.0,3,2,1.0,Occidental,SANTA MARIA,SANTA MARIA DEL LAGO
Apartamento,175000000,50.0,2,2,0.0,Noroccidente,EL PLAN,Casa Blanca Sector El Plan
Apartamento,1200000000,201.0,3,4,2.0,Norte,CHICO NORTE,Chico
Casa,390000000,260.0,5,3,0.0,Sur,ALFONSO LOPEZ,VRREY SUR
Apartamento,1550000000,226.0,4,4,4.0,Norte,SANTA BARBARA OCCIDENTAL,SANTA BARBARA OCCIDENTAL
Casa,450000000,220.0,3,3,1.0,Occidental,VILLA ALSACIA 2,VILLA ALSACIA
Casa,3500000000,600.0,4,5,4.0,,HACIENDA SAN SIMON,HACIENDA SAN SIMON
Apartamento,460000000,64.0,1,2,1.0,Norte,SANTA BARBARA ORIENTAL,Santa Barbara Central-Usaquén
